Creature Life;Creature Status;Collected Jewels;Completed Leaflets;Amount Learned Rules;Success Rate;Time[s]
1573;WINNER;4368;1298;10;0.825174825174825;40
1574;LOOSER;4370;1298;8;0.824650571791614;27
1575;LOOSER;4372;1298;8;0.824126984126984;57
1576;WINNER;4375;1299;18;0.824238578680203;12
1577;LOOSER;4376;1299;14;0.823715916296766;57
1578;WINNER;4379;1300;9;0.82382762991128;50
1579;WINNER;4382;1301;10;0.823939202026599;42
1580;WINNER;4385;1302;20;0.824050632911392;30
1581;WINNER;4388;1303;15;0.82416192283365;6
1582;LOOSER;4390;1303;9;0.823640960809102;7
1583;LOOSER;4392;1303;14;0.823120656980417;7
1584;WINNER;4395;1304;10;0.823232323232323;55
1585;LOOSER;4397;1304;30;0.822712933753943;57
1586;WINNER;4400;1305;9;0.822824716267339;41
1587;WINNER;4403;1306;11;0.822936357908003;13
1588;WINNER;4406;1307;21;0.823047858942065;12
1589;WINNER;4409;1308;24;0.823159219634991;30
1590;WINNER;4412;1309;7;0.823270440251572;28
1591;LOOSER;4414;1309;10;0.822752985543683;50
1592;LOOSER;4415;1309;9;0.822236180904523;57
1593;LOOSER;4417;1309;11;0.821720025109856;27
1594;WINNER;4420;1310;18;0.821831869510665;49
1595;WINNER;4423;1311;13;0.821943573667712;28
1596;WINNER;4426;1312;10;0.822055137844611;46
1597;WINNER;4429;1313;14;0.822166562304321;23
1598;WINNER;4432;1314;18;0.822277847309136;11
1599;WINNER;4435;1315;12;0.8223889931207;32
1600;WINNER;4438;1316;11;0.8225;17
1601;WINNER;4441;1317;13;0.82261086820737;4
1602;WINNER;4444;1318;17;0.822721598002497;1
1603;LOOSER;4446;1318;10;0.822208359326263;27
1604;LOOSER;4448;1318;10;0.821695760598504;27
1605;WINNER;4451;1319;14;0.821806853582555;47
1606;WINNER;4454;1320;14;0.821917808219178;27
1607;WINNER;4457;1321;10;0.822028624766646;6
1608;WINNER;4460;1322;14;0.822139303482587;1
1609;WINNER;4463;1323;25;0.82224984462399;7
1610;LOOSER;4465;1323;6;0.821739130434783;37
1611;WINNER;4468;1324;6;0.821849782743638;50
1612;WINNER;4471;1325;17;0.821960297766749;49
1613;LOOSER;4473;1325;24;0.821450712957223;47
1614;WINNER;4476;1326;11;0.821561338289963;5
1615;WINNER;4479;1327;9;0.821671826625387;33
1616;WINNER;4482;1328;9;0.821782178217822;16
1617;LOOSER;4483;1328;13;0.821273964131107;55
1618;WINNER;4486;1329;13;0.821384425216316;43
1619;WINNER;4489;1330;12;0.821494749845584;33
1620;WINNER;4492;1331;11;0.821604938271605;4
1621;WINNER;4495;1332;9;0.821714990746453;0
1622;WINNER;4498;1333;21;0.821824907521578;35
1623;WINNER;4501;1334;10;0.821934688847813;22
1624;LOOSER;4503;1334;16;0.821428571428571;17
1625;WINNER;4506;1335;7;0.821538461538462;25
1626;WINNER;4509;1336;13;0.821648216482165;8
1627;WINNER;4512;1337;12;0.821757836508912;19
1628;WINNER;4515;1338;13;0.821867321867322;34
1629;LOOSER;4517;1338;6;0.821362799263352;27
1630;WINNER;4520;1339;16;0.821472392638037;52
1631;WINNER;4523;1340;15;0.82158185162477;6
1632;LOOSER;4525;1340;17;0.821078431372549;7
1633;WINNER;4528;1341;9;0.821187997550521;9
1634;WINNER;4531;1342;11;0.821297429620563;57
1635;WINNER;4534;1343;11;0.821406727828746;13
1636;WINNER;4537;1344;22;0.821515892420538;0
1637;WINNER;4540;1345;15;0.821624923640806;38
1638;WINNER;4543;1346;15;0.821733821733822;40
1639;WINNER;4546;1347;17;0.821842586943258;11
1640;WINNER;4549;1348;13;0.821951219512195;21
1641;WINNER;4552;1349;5;0.82205971968312;22
1642;WINNER;4555;1350;18;0.822168087697929;47
1643;WINNER;4558;1351;20;0.822276323797931;30
1644;LOOSER;4559;1351;8;0.821776155717762;47
1645;WINNER;4562;1352;8;0.821884498480243;56
1646;WINNER;4565;1353;12;0.821992709599028;22
1647;WINNER;4568;1354;21;0.822100789313904;47
1648;WINNER;4571;1355;13;0.822208737864078;56
1649;WINNER;4574;1356;12;0.822316555488175;6
1650;LOOSER;4576;1356;8;0.821818181818182;47
1651;WINNER;4579;1357;15;0.821926105390672;22
1652;WINNER;4582;1358;17;0.822033898305085;55
1653;WINNER;4585;1359;11;0.822141560798548;23
1654;WINNER;4588;1360;16;0.822249093107618;10
1655;LOOSER;4589;1360;6;0.821752265861027;47
1656;WINNER;4592;1361;19;0.821859903381643;39
1657;WINNER;4595;1362;10;0.821967410983706;14
1658;LOOSER;4596;1362;17;0.821471652593486;47
1659;WINNER;4599;1363;12;0.821579264617239;53
1660;LOOSER;4601;1363;12;0.821084337349398;59
1661;WINNER;4604;1364;14;0.821192052980132;46
1662;WINNER;4607;1365;20;0.82129963898917;28
1663;WINNER;4610;1366;10;0.821407095610343;15
1664;WINNER;4613;1367;20;0.821514423076923;56
1665;WINNER;4616;1368;11;0.821621621621622;35
1666;WINNER;4619;1369;16;0.821728691476591;29
1667;WINNER;4622;1370;24;0.821835632873425;51
1668;WINNER;4625;1371;15;0.821942446043165;24
1669;WINNER;4628;1372;14;0.822049131216297;53
1670;WINNER;4631;1373;15;0.822155688622754;0
1671;WINNER;4634;1374;13;0.822262118491921;50
1672;WINNER;4637;1375;9;0.822368421052632;31
1673;LOOSER;4639;1375;13;0.821876867901972;17
1674;WINNER;4642;1376;9;0.821983273596177;56
1675;LOOSER;4643;1376;10;0.821492537313433;57
1676;WINNER;4646;1377;17;0.821599045346062;30
1677;WINNER;4649;1378;21;0.821705426356589;31
1678;WINNER;4652;1379;22;0.82181168057211;45
1679;WINNER;4655;1380;10;0.821917808219178;55
1680;WINNER;4658;1381;8;0.822023809523809;40
1681;WINNER;4661;1382;10;0.822129684711481;6
1682;WINNER;4664;1383;7;0.822235434007134;44
1683;LOOSER;4666;1383;17;0.82174688057041;47
1684;WINNER;4669;1384;14;0.821852731591449;14
1685;WINNER;4672;1385;12;0.821958456973294;29
1686;WINNER;4675;1386;22;0.822064056939502;43
1687;LOOSER;4677;1386;9;0.821576763485477;27
1688;LOOSER;4679;1386;9;0.821090047393365;27
1689;WINNER;4682;1387;16;0.821195973949082;52
1690;LOOSER;4684;1387;7;0.820710059171598;37
1691;LOOSER;4686;1387;5;0.820224719101124;42
1692;WINNER;4689;1388;10;0.820330969267139;57
1693;WINNER;4692;1389;27;0.820437093916125;49
1694;LOOSER;4694;1389;16;0.819952774498229;58
1695;WINNER;4697;1390;9;0.820058997050148;6
1696;LOOSER;4699;1390;5;0.819575471698113;23
1697;WINNER;4702;1391;19;0.819681791396582;3
1698;WINNER;4705;1392;22;0.819787985865724;48
1699;WINNER;4708;1393;8;0.819894055326663;48
1700;LOOSER;4709;1393;14;0.819411764705882;57
1701;WINNER;4712;1394;14;0.819517930629042;18
1702;WINNER;4715;1395;13;0.819623971797885;5
1703;WINNER;4718;1396;15;0.819729888432179;39
1704;WINNER;4721;1397;7;0.819835680751174;21
1705;WINNER;4724;1398;25;0.819941348973607;32
1706;WINNER;4727;1399;11;0.820046893317702;58
1707;WINNER;4730;1400;10;0.820152314001172;3
1708;WINNER;4733;1401;12;0.820257611241218;5
1709;WINNER;4736;1402;8;0.820362785254535;22
1710;WINNER;4739;1403;17;0.82046783625731;39
1711;WINNER;4742;1404;13;0.820572764465225;45
1712;WINNER;4745;1405;13;0.820677570093458;51
1713;WINNER;4748;1406;16;0.820782253356684;12
1714;WINNER;4751;1407;27;0.820886814469078;12
1715;WINNER;4754;1408;19;0.820991253644315;52
1716;WINNER;4757;1409;23;0.821095571095571;7
1717;WINNER;4760;1410;18;0.821199767035527;34
1718;WINNER;4763;1411;9;0.821303841676368;12
1719;WINNER;4766;1412;23;0.821407795229785;59
1720;WINNER;4769;1413;13;0.821511627906977;14
1721;WINNER;4772;1414;7;0.821615339918652;44
1722;WINNER;4775;1415;8;0.821718931475029;52
1723;WINNER;4778;1416;20;0.821822402785839;5
1724;WINNER;4781;1417;18;0.821925754060325;34
1725;WINNER;4784;1418;13;0.822028985507246;49
1726;WINNER;4787;1419;17;0.822132097334878;43
1727;WINNER;4790;1420;17;0.822235089751013;44
1728;LOOSER;4792;1420;9;0.821759259259259;57
1729;WINNER;4795;1421;22;0.821862348178138;53
1730;LOOSER;4796;1421;8;0.821387283236994;18
1731;WINNER;4799;1422;18;0.821490467937608;12
1732;WINNER;4802;1423;11;0.821593533487298;25
1733;WINNER;4805;1424;13;0.821696480092325;50
1734;WINNER;4808;1425;21;0.821799307958478;35
1735;WINNER;4811;1426;15;0.821902017291066;42
1736;WINNER;4814;1427;10;0.822004608294931;2
1737;WINNER;4817;1428;15;0.822107081174439;25
1738;WINNER;4820;1429;11;0.822209436133487;14
1739;LOOSER;4822;1429;12;0.821736630247269;47
1740;LOOSER;4823;1429;7;0.821264367816092;47
1741;WINNER;4826;1430;8;0.821367030442275;42
1742;WINNER;4829;1431;15;0.821469575200918;33
1743;WINNER;4832;1432;15;0.821572002294894;11
1744;WINNER;4835;1433;23;0.821674311926605;56
1745;LOOSER;4837;1433;19;0.821203438395415;17
1746;WINNER;4840;1434;8;0.821305841924399;23
1747;WINNER;4843;1435;7;0.821408128219805;31
1748;WINNER;4846;1436;20;0.821510297482838;9
1749;WINNER;4849;1437;14;0.821612349914237;42
1750;WINNER;4852;1438;16;0.821714285714286;0
1751;WINNER;4855;1439;15;0.82181610508281;52
1752;WINNER;4858;1440;20;0.821917808219178;5
1753;WINNER;4861;1441;13;0.822019395322305;50
1754;WINNER;4864;1442;23;0.82212086659065;44
1755;WINNER;4867;1443;18;0.822222222222222;35
1756;LOOSER;4869;1443;16;0.821753986332574;37
1757;WINNER;4872;1444;18;0.821855435401252;31
1758;WINNER;4875;1445;22;0.821956769055745;27
1759;WINNER;4878;1446;12;0.822057987492894;23
1760;WINNER;4881;1447;17;0.822159090909091;35
1761;WINNER;4884;1448;19;0.822260079500284;49
1762;WINNER;4887;1449;18;0.822360953461975;35
1763;WINNER;4890;1450;19;0.822461712989223;59
1764;WINNER;4893;1451;20;0.822562358276644;52
1765;WINNER;4896;1452;17;0.822662889518414;58
1766;WINNER;4899;1453;8;0.822763306908267;26
1767;WINNER;4902;1454;14;0.822863610639502;2
1768;WINNER;4905;1455;17;0.822963800904977;19
1769;WINNER;4908;1456;12;0.823063877897117;58
1770;WINNER;4911;1457;13;0.82316384180791;29
1771;WINNER;4914;1458;16;0.82326369282891;59
1772;WINNER;4917;1459;19;0.823363431151242;0
1773;WINNER;4920;1460;22;0.823463056965595;30
1774;WINNER;4923;1461;12;0.823562570462232;41
1775;WINNER;4926;1462;21;0.823661971830986;46
